Winner17,leaveHanretty,Majority17,c11Degree,mp_first_start,frontbench,in_experiment,in_experimentn,Region
1,66.91034244000001,4.933304070036823,7.852177306297062,2010-05-06,TRUE,Excluded (no letters),Excluded,2
2,67.81412457,7.2182645266500725,6.377482051128,1997-05-01,TRUE,Excluded (no letters),Excluded,2
2,62.02804437,36.76815711462451,6.367648854695488,2010-05-06,FALSE,Excluded (no letters),Excluded,10
2,56.12462434,28.02803427335496,12.668932810658188,2017-06-09,FALSE,Included (letters sent),Included,1
2,60.494853260000006,18.627912449988234,8.623995006613265,1987-06-11,FALSE,Excluded (no letters),Excluded,1
1,64.79230497,34.066832840006235,8.914555239765374,1997-05-01,TRUE,Excluded (no letters),Excluded,8
2,70.3942464,11.36739826737462,7.23094965011534,1970-06-18,FALSE,Included (letters sent),Included,4
2,58.11275967,8.403603125069163,12.481112118464793,1997-05-01,FALSE,Excluded (no letters),Excluded,2
2,63.0276743,31.013869527207426,9.211763808749142,2010-05-06,TRUE,Excluded (no letters),Excluded,2
1,55.55402654,1.833352920437184,15.85143749186939,2015-05-08,FALSE,Excluded (no letters),Excluded,2
2,54.79967454,71.98536430162265,9.009428618185023,2015-05-08,TRUE,Excluded (no letters),Excluded,2
1,75.64987141,38.64828937242007,5.777057403814301,2015-05-08,FALSE,Excluded (no letters),Excluded,4
1,60.829363859999994,32.67162797322319,12.877410417207813,1987-06-11,FALSE,Excluded (no letters),Excluded,4
1,53.69069461,16.32522933892797,16.655709220690788,2005-05-05,TRUE,Excluded (no letters),Excluded,9
1,57.73176661,17.325364549396724,13.903154805575934,2010-05-06,FALSE,Excluded (no letters),Excluded,9
1,53.2448746,28.655263722894155,18.498579153727174,2010-05-06,FALSE,Excluded (no letters),Excluded,8
2,55.15782934,45.02213844197975,9.917874396135266,2015-05-08,TRUE,Excluded (no letters),Excluded,3
2,63.56121775,16.32195668591196,8.98851957559546,2015-05-08,TRUE,Excluded (no letters),Excluded,3
2,46.74085444,48.10665963802495,13.909338383240621,2015-05-08,TRUE,Excluded (no letters),Excluded,3
1,61.51564016,35.20620723923098,10.870479126590824,2015-05-08,TRUE,Excluded (no letters),Excluded,6
